행정구역(시군구)별,지역코드,총인구수 (명),남자인구수 (명),여자인구수 (명),,
　　　봉화군,47920,"29,082","14,818","14,264",,
　　　울진군,47930,"46,112","23,331","22,781",,
　　　울릉군,47940,"9,169","5,127","4,042",,
창원시 의창구,48121,"209,956","106,689","103,267",,
창원시 성산구,48123,"244,953","125,017","119,936",,
창원시 마산합포구,48125,"178,820","88,800","90,020",,
창원시 마산회원구,48127,"178,922","89,198","89,724",,
창원시 진해구,48129,"189,251","97,365","91,886",,
　　　진주시,48170,"339,388","167,610","171,778",,
　　　통영시,48220,"118,896","59,708","59,188",,
　　　사천시,48240,"108,650","55,068","53,582",,
　　　김해시,48250,"531,966","269,077","262,889",,
　　　밀양시,48270,"100,802","49,839","50,963",,
　　　거제시,48310,"232,921","122,060","110,861",,
　　　양산시,48330,"358,074","179,264","178,810",,
　　　의령군,48720,"25,168","12,547","12,621",,
　　　함안군,48730,"59,102","30,309","28,793",,
　　　창녕군,48740,"56,246","28,167","28,079",,
　　　고성군,48820,"48,356","24,508","23,848",,
　　　남해군,48840,"40,060","19,502","20,558",,
　　　하동군,48850,"40,909","20,433","20,476",,
　　　산청군,48860,"33,373","16,538","16,835",,
　　　함양군,48870,"36,307","17,688","18,619",,
　　　거창군,48880,"59,737","29,396","30,341",,
　　　합천군,48890,"40,440","19,860","20,580",,
　　　제주시,50110,"488,844","244,006","244,838",,
　　　서귀포시,50130,"182,220","91,711","90,509",,
