release_year,genres,popularity,vote,profit,revenue
1980,Crime,44.714264,7.5,4.267773703703703,115229890.0
1980,Drama,13.152623,6.811111111111112,3.445208626479076,19836787.555555556
1980,Fantasy,18.2245955,6.85,1.763506537037037,95229353.0
1980,History,12.870245666666667,6.966666666666666,2.2869603469696966,15096794.666666666
1980,Horror,34.80912,7.1000000000000005,9.534201118758435,32431578.333333332
1980,Music,18.371744666666668,6.533333333333334,4.373313085185185,60804225.666666664
1980,Mystery,11.208769,6.8,4.907538461538461,31899000.0
1980,Romance,14.2597,6.5,6.539234,29426553.0
1980,Science Fiction,25.8903342,6.26,7.019436556517556,152166333.2
1980,Thriller,30.513101000000002,6.699999999999999,3.6121211781376514,25305458.0
1980,Western,4.1698355000000005,6.5,0.8293541204545455,9639760.0
1981,Action,23.914283666666662,6.677777777777778,7.562076515696649,94803918.22222222
1981,Adventure,19.4225092,6.5,6.711189706888681,79785090.8
1981,Animation,12.928269,6.2,0.0,0.0
1981,Comedy,8.237369125,5.7875,8.607480021969698,36189866.875
1981,Crime,5.080758,6.533333333333334,1.9905359,6635119.666666667
1981,Drama,8.6830202,6.83,5.178297811490536,27480201.4
1981,Family,7.6487964999999996,5.199999999999999,4.3442929,22260138.5
1981,Fantasy,9.0189795,6.55,4.628502905555555,28237797.0
1981,History,9.0042824,7.140000000000001,3.633755265051525,37911112.6
1981,Horror,13.512515599999997,6.26,39.788037933333335,13821733.8
1981,Mystery,6.969557,6.65,0.3490320476190476,6219782.0
1981,Romance,6.7788315,5.05,0.12637134814814815,1275074.0
1981,Science Fiction,22.29411825,6.75,7.286912216666667,29302778.25
1981,Thriller,12.90749,6.4625,5.92155385262105,34497666.625
1981,War,9.993085333333333,7.266666666666667,2.0614906832298137,30066666.666666668
1981,Western,11.725805,3.7,0.16364444444444445,2945600.0
1982,Action,17.849467,6.1375,inf,50816285.5
1982,Adventure,30.537416166666663,6.233333333333333,19.962452674761902,194120814.5
1982,Comedy,10.958303333333333,6.333333333333333,4.769701238988095,49170545.333333336
1982,Crime,3.353319,5.6,0.0,0.0
1982,Drama,19.89971925,6.7,2.798673721103896,23189272.5
1982,Family,29.8811445,7.05,40.70899157142857,406784988.5
1982,Fantasy,22.7292274,6.5200000000000005,inf,181421984.4
1982,History,35.227212,7.4,3.533540409090909,77737889.0
1982,Horror,17.625863499999998,6.125,5.04838708988837,26743572.75
1982,Mystery,32.380917499999995,6.4,3.5343253333333333,17014880.0
1982,Romance,12.237529,6.85,7.170393761904762,98929711.5
1982,Science Fiction,30.99674025,6.1125,15.960206773809524,128445909.5
1982,Thriller,30.544301714285712,6.542857142857143,5.116223800396825,51789990.428571425
1982,War,63.071046,7.2,8.347526933333333,125212904.0
1982,Western,3.656491,6.8,5.902692285714286,20659423.0
1983,Action,29.450174428571426,6.357142857142857,5.2292150541376445,155812487.85714287
1983,Adventure,21.531548714285716,6.057142857142857,5.935982520938363,153424233.7142857
1983,Comedy,19.340721199999997,6.279999999999999,inf,49638092.2
1983,Crime,30.67134,6.8,2.8172261400000003,37271659.333333336
1983,Drama,14.514452,6.11,4.744587587453704,28608710.0
1983,Family,15.128316,7.4,inf,19294144.0
1983,Fantasy,14.990685999999998,5.766666666666667,1.8339371822412156,40607001.0
1983,History,17.567332,7.3,0.7962962962962963,21500000.0
1983,Horror,15.935786666666665,6.733333333333333,1.7926700174731183,17445991.333333332
1983,Music,10.905785999999999,6.15,12.881817041666668,61660601.5
1983,Mystery,18.119265,7.1,0.35625655241935483,2120439.0
1983,Romance,10.7321348,6.18,8.0758657875,39390676.6
1983,Science Fiction,23.273731166666664,6.733333333333333,5.276130418928569,130076044.16666667
1983,Thriller,22.55306275,6.275,3.4996165499116163,69425316.625
1983,Western,4.522743500000001,2.75,2.4465256,6116314.0
