"행정구역(시군구)별",2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"기흥구",437818,215885,221933,437828,215865,221963,437121,215464,221657
"수지구",375858,182976,192882,375664,182861,192803,375537,182716,192821
"파주시",507470,256602,250868,508240,256864,251376,508680,257006,251674
"이천시",223056,116264,106792,223564,116548,107016,223422,116487,106935
"안성시",192293,99380,92913,193049,99777,93272,193220,99845,93375
"김포시",486128,242751,243377,486291,242848,243443,486258,242774,243484
"화성시",956503,496516,459987,958444,497529,460915,961688,499225,462463
"화성시동부출장소",0,0,0,0,0,0,0,0,0
"화성시동탄출장소",0,0,0,0,0,0,0,0,0
"광주시",394164,200866,193298,395011,201313,193698,396055,201820,194235
"양주시",282215,142110,140105,284421,143167,141254,285930,143958,141972
"포천시",142135,75197,66938,141958,75102,66856,141825,75025,66800
"여주시",114696,58370,56326,114753,58400,56353,114750,58416,56334
"연천군",41035,21501,19534,40950,21473,19477,40894,21436,19458
"가평군",62445,32175,30270,62511,32216,30295,62492,32196,30296
"양평군",126668,63577,63091,127033,63804,63229,126982,63780,63202
"강원특별자치도",1521877,765321,756556,1521066,764911,756155,1520410,764551,755859
"춘천시",286331,141364,144967,286226,141323,144903,286124,141274,144850
"원주시",361622,179100,182522,361923,179239,182684,362017,179228,182789
"강릉시",208251,103188,105063,208101,103144,104957,208161,103175,104986
"동해시",87852,44555,43297,87780,44531,43249,87724,44517,43207
"태백시",38137,19258,18879,38094,19220,18874,38103,19240,18863
"속초시",81424,40216,41208,81326,40168,41158,81164,40078,41086
"삼척시",62330,31726,30604,62210,31665,30545,62111,31627,30484
"홍천군",67182,34653,32529,67125,34613,32512,67067,34593,32474
"횡성군",46314,23800,22514,46247,23756,22491,46238,23755,22483
"영월군",37063,19173,17890,37036,19155,17881,36955,19109,17846
"평창군",40509,21006,19503,40461,20979,19482,40448,20963,19485
"정선군",33761,17623,16138,33717,17589,16128,33661,17558,16103
"철원군",40790,21094,19696,40686,21040,19646,40646,21017,19629
"화천군",23020,12316,10704,22986,12293,10693,22965,12286,10679
"양구군",20846,10915,9931,20780,10877,9903,20740,10856,9884
"인제군",31721,17290,14431,31703,17300,14403,31644,17268,14376
"고성군",27143,13909,13234,27087,13878,13209,27060,13866,13194
"양양군",27581,14135,13446,27578,14141,13437,27582,14141,13441
"충청북도",1591182,809799,781383,1590716,809546,781170,1590858,809577,781281
"청주시",853563,431274,422289,853642,431289,422353,853938,431432,422506
"상당구",198851,98728,100123,198719,98649,100070,198635,98614,100021
"서원구",183376,91321,92055,182900,91091,91809,182623,90942,91681
"흥덕구",281963,143608,138355,282608,143955,138653,283094,144211,138883
"청원구",189373,97617,91756,189415,97594,91821,189586,97665,91921
"충주시",207346,105235,102111,207209,105186,102023,207369,105203,102166
"제천시",129385,65156,64229,129175,65053,64122,129066,65018,64048
"보은군",30727,15565,15162,30672,15547,15125,30620,15530,15090
"옥천군",48521,24519,24002,48422,24468,23954,48390,24457,23933
"영동군",43792,22024,21768,43767,22032,21735,43680,21969,21711
"증평군",37235,19395,17840,37181,19371,17810,37207,19378,17829
"진천군",86769,45907,40862,86746,45853,40893,86742,45846,40896
"괴산군",36095,18662,17433,36023,18623,17400,36021,18633,17388
"음성군",90219,48017,42202,90377,48091,42286,90377,48099,42278
"단양군",27530,14045,13485,27502,14033,13469,27448,14012,13436
"충청남도",2135171,1095237,1039934,2135281,1095246,1040035,2135373,1095392,1039981
"천안시",658537,337756,320781,658731,337848,320883,658831,338001,320830
"동남구",260793,132231,128562,260764,132206,128558,260593,132161,128432
"서북구",397744,205525,192219,397967,205642,192325,398238,205840,192398
"공주시",101930,50821,51109,101786,50762,51024,101695,50721,50974
"보령시",94482,47858,46624,94350,47794,46556,94191,47718,46473
"아산시",352428,183811,168617,352996,184103,168893,353603,184366,169237
"서산시",175494,91967,83527,175334,91855,83479,175144,91730,83414
"논산시",109197,54667,54530,109030,54584,54446,108883,54491,54392
"계룡시",46683,23261,23422,46689,23254,23435,46687,23268,23419
"당진시",170697,91422,79275,170993,91579,79414,171213,91713,79500
"금산군",49928,25300,24628,49821,25228,24593,49737,25188,24549
"부여군",60039,29922,30117,59948,29870,30078,59823,29798,30025
"서천군",48608,24093,24515,48527,24043,24484,48458,24007,24451
"청양군",29809,15284,14525,29781,15253,14528,29687,15199,14488
"홍성군",98501,49155,49346,98558,49182,49376,98866,49362,49504
"예산군",78338,39290,39048,78303,39286,39017,78195,39253,38942
"태안군",60500,30630,29870,60434,30605,29829,60360,30577,29783
"전북특별자치도",1744661,868718,875943,1743183,867993,875190,1741640,867235,874405
"전주시",638964,313679,325285,638475,313401,325074,638019,313169,324850
"완산구",323841,157223,166618,323561,157038,166523,323278,156881,166397
"덕진구",315123,156456,158667,314914,156363,158551,314741,156288,158453
"군산시",258585,131084,127501,258437,131009,127428,258264,130932,127332
"익산시",267899,133367,134532,267704,133284,134420,267604,133184,134420
"정읍시",102705,51225,51480,102544,51140,51404,102391,51081,51310
"남원시",75937,37265,38672,75796,37205,38591,75646,37150,38496
"김제시",80929,40458,40471,80854,40443,40411,80691,40369,40322
"완주군",98950,50787,48163,99023,50832,48191,99042,50839,48203
"진안군",24404,12461,11943,24355,12439,11916,24277,12406,11871
"무주군",23114,11597,11517,23101,11598,11503,23101,11600,11501
"장수군",20762,10438,10324,20760,10428,10332,20752,10416,10336
"임실군",25807,13332,12475,25763,13295,12468,25693,13262,12431
"순창군",26813,13192,13621,26819,13206,13613,26803,13195,13608
"고창군",51241,25611,25630,51145,25556,25589,51058,25515,25543
"부안군",48551,24222,24329,48407,24157,24250,48299,24117,24182
"전라남도",1793747,904835,888912,1792390,904171,888219,1791496,903669,887827
