충전소명,주소,ID,충전기 형태,충전기 용량,X,Y
(RS)대구시_원대동 행정복지센터,"대구 서구 달서로 257(원대동3가, 원대동 행정복지센터) 지상1층 주차장",1,DC콤보(듀얼),100,128.573481928,35.885403709
(RS)대구시_운암지 공영주차장,"대구 북구 구암로 217(구암동, 운암지) 지상1층 주차장",1,3Mode,50,128.564456729,35.931932386
(RS)대구시_운암지 공영주차장,"대구 북구 구암로 217(구암동, 운암지) 지상1층 주차장",2,3Mode,50,128.564456729,35.931932386
(RS)대구시_용산2동행정복지센터,"대구 달서구 선원로 278(용산동, 용산2동행정복지센터) 지상1층 주차장",1,3Mode,50,128.523004580,35.858464053
(RS)대구시_용산1동행정복지센터,"대구 달서구 용산로 212-7(용산동, 용산1동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.531223445,35.856664387
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",1,AC완속(싱글),7,128.674119318,35.827039827
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",2,AC완속(싱글),7,128.674119318,35.827039827
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",3,AC완속(싱글),7,128.674119318,35.827039827
(RS)대구시_외곽순환도로 칠곡졸음쉼터,경북 칠곡군 지천면 대구외곽순환고속도로 11(오산리) 지상1층 주차장,1,DC콤보(듀얼),100,128.478929608,35.905097338
(RS)대구시_옥포읍 행정복지센터,"대구 달성군 옥포읍 비슬로 2215(본리리, 옥포읍사무소, 옥포119지역대) 지상1층 주차장",1,3Mode,50,128.463734673,35.789586819
(RS)대구시_옥포읍 행정복지센터,"대구 달성군 옥포읍 비슬로 2215(본리리, 옥포읍사무소, 옥포119지역대) 지상1층 주차장",2,AC완속(싱글),7,128.463734673,35.789586819
(RS)대구시_오리1리마을회관,"대구 달성군 가창면 헐티로10길 27(오리, 오리1리마을회관) 지상1층 주차장",1,AC완속(싱글),7,128.592936878,35.790067688
(RS)대구시_염색공단제2공영주차장,"대구 서구 염색공단천로11길 27(비산동, 대구염색공단제2공영주차장) 지상1층 주차장",1,3Mode,50,128.549511309,35.888076592
(RS)대구시_염색공단제2공영주차장,"대구 서구 염색공단천로11길 27(비산동, 대구염색공단제2공영주차장) 지상1층 주차장",2,3Mode,50,128.549511309,35.888076592
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,3,AC완속(싱글),7,128.627942179,35.847074797
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,2,AC완속(싱글),7,128.627942179,35.847074797
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,1,AC완속(싱글),7,128.627942179,35.847074797
(RS)대구시_안심4동 행정복지센터,대구 동구 안심로49길 98 안심4동 행정복지센터 지상 야외주차장,1,3Mode,50,128.711062031,35.870155792
(RS)대구시_안심1동 행정복지센터,"대구 동구 율하동로25길 5(신기동, 안심1동행정복지센터) 지상1층 주차장",1,3Mode,50,128.701659032,35.870444365
(RS)대구시_아이빌,"대구 북구 태전로13길 12-19(태전동, 아이빌) 지상1층 주차장",1,3Mode,50,128.540969522,35.924950920
(RS)대구시_아양아트센터,"대구 동구 효동로2길 24(효목동, 아양아트센터) 지상1층 주차장",2,3Mode,100,128.651834779,35.879750354
(RS)대구시_아양아트센터,"대구 동구 효동로2길 24(효목동, 아양아트센터) 지상1층 주차장",1,3Mode,100,128.651834779,35.879750354
(RS)대구시_신암공원,"대구 동구 신암북로11길 8(신암동, 신암공원) 지상1층 주차장",1,3Mode,100,128.622951864,35.887962929
(RS)대구시_신암2동 행정복지센터,"대구 동구 신성로 56(신암동, 신암2동주민센터) 신암2동 행정복지센터",1,3Mode,50,128.612701431,35.879980359
(RS)대구시_신암1동 행정복지센터,"대구 동구 아양로7길 27(신암동, 신암1동행정복지센터) 지상1층 주차장",1,3Mode,100,128.616351541,35.884301148
(RS)대구시_신매공원,"대구 수성구 달구벌대로650길 67(신매동, 신매공원 공중화장실) 지상1층 주차장",2,AC완속(싱글),7,128.708937949,35.832725017
(RS)대구시_신매공원,"대구 수성구 달구벌대로650길 67(신매동, 신매공원 공중화장실) 지상1층 주차장",1,3Mode,50,128.708937949,35.832725017
(RS)대구시_신당동,"대구 달서구 선원로 60(신당동, 신당동행정복지센터)",1,3Mode,100,128.498833448,35.858966770
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,2,AC완속(싱글),7,128.597100677,35.891171200
(RS)대구시_시청별관,대구 북구 연암로 60(산격동) 지상1층 주차장,4,AC완속(싱글),7,128.597100677,35.891171200
