"동별(1)",동별(2),동별(3),2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",종로구,숭인2동,6935,11029,5139,5890,10105,4893,5212,924,246,678,1.46,1803
"합계",종로구,청운효자동,4996,11326,5160,6166,11190,5093,6097,136,67,69,2,2222
"합계",종로구,혜화동,9196,19209,8713,10496,15936,7689,8247,3273,1024,2249,1.73,2740
"합계",중구,소계,65273,131800,63383,68417,121475,58582,62893,10325,4801,5524,1.86,26516
"합계",중구,소공동,1253,3362,1662,1700,2179,1025,1154,1183,637,546,1.74,347
"합계",중구,회현동,2491,5012,2619,2393,4360,2289,2071,652,330,322,1.75,1381
"합계",중구,명동,1378,3400,1490,1910,2588,1076,1512,812,414,398,1.88,770
"합계",중구,필동,2748,5248,2619,2629,4306,2211,2095,942,408,534,1.57,914
"합계",중구,장충동,2857,5458,2787,2671,4563,2374,2189,895,413,482,1.60,914
"합계",중구,광희동,3992,7070,3463,3607,5811,2856,2955,1259,607,652,1.46,1213
"합계",중구,을지로동,2157,3466,1859,1607,3124,1698,1426,342,161,181,1.45,518
"합계",중구,신당5동,5437,10521,5063,5458,10166,4921,5245,355,142,213,1.87,1997
"합계",중구,황학동,7549,13711,6390,7321,12796,6017,6779,915,373,542,1.70,2207
"합계",중구,중림동,5974,12466,6068,6398,12117,5908,6209,349,160,189,2.03,2242
"합계",중구,신당동,4732,8888,4250,4638,7416,3622,3794,1472,628,844,1.57,1614
"합계",중구,다산동,6811,13625,6577,7048,13155,6367,6788,470,210,260,1.93,3010
"합계",중구,약수동,7764,16343,7539,8804,16099,7418,8681,244,121,123,2.07,4232
"합계",중구,청구동,6135,13127,6159,6968,12872,6047,6825,255,112,143,2.10,2988
"합계",중구,동화동,3995,10103,4838,5265,9923,4753,5170,180,85,95,2.48,2169
"합계",용산구,소계,104187,219451,105752,113699,206061,98564,107497,13390,7188,6202,1.98,39021
"합계",용산구,후암동,8268,16412,7898,8514,15927,7647,8280,485,251,234,1.93,3170
"합계",용산구,용산2가동,5017,10273,5012,5261,8835,4338,4497,1438,674,764,1.76,2135
"합계",용산구,남영동,4848,7334,4412,2922,6819,4156,2663,515,256,259,1.41,1609
"합계",용산구,원효로1동,9310,17689,8226,9463,16989,7848,9141,700,378,322,1.82,2134
"합계",용산구,원효로2동,6273,13707,6433,7274,13583,6382,7201,124,51,73,2.17,2514
"합계",용산구,효창동,4729,10772,5058,5714,10613,4988,5625,159,70,89,2.24,1659
"합계",용산구,용문동,5284,11411,5394,6017,11290,5346,5944,121,48,73,2.14,2308
"합계",용산구,이촌1동,9110,25481,12010,13471,24944,11710,13234,537,300,237,2.74,4572
"합계",용산구,이촌2동,3596,7870,3667,4203,7806,3639,4167,64,28,36,2.17,1853
"합계",용산구,이태원1동,3460,7841,4180,3661,6123,3063,3060,1718,1117,601,1.77,1442
"합계",용산구,이태원2동,4902,10242,4905,5337,8730,4131,4599,1512,774,738,1.78,1958
"합계",용산구,서빙고동,5122,13306,6417,6889,12578,6046,6532,728,371,357,2.46,2305
"합계",용산구,보광동,4379,8652,4530,4122,7632,3824,3808,1020,706,314,1.74,1814
"합계",용산구,청파동,11195,19420,8888,10532,18763,8679,10084,657,209,448,1.68,3412
"합계",용산구,한강로동,11243,22613,10794,11819,20883,9881,11002,1730,913,817,1.86,3395
"합계",용산구,한남동,7451,16428,7928,8500,14546,6886,7660,1882,1042,840,1.95,2741
