충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_외환들공영주차장,"대구 수성구 미술관로 40(삼덕동, 대구미술관) 지상1층 주차장",03,AC완속(싱글),7
(RS)대구시_외곽순환도로 칠곡졸음쉼터,경북 칠곡군 지천면 대구외곽순환고속도로 11(오산리) 지상1층 주차장,01,DC콤보(듀얼),100
(RS)대구시_옻골동산,"대구 북구 구암동 산 3-1(구암동, 옻골동산) 지상1층 주차장",01,3Mode,100
(RS)대구시_올브랜서편공영주차장,"대구광역시 북구 산격동 1671(산격동, 공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_올브랜서편공영주차장,"대구광역시 북구 산격동 1671(산격동, 공영주차장) 지상1층 주차장",03,AC완속(싱글),7
(RS)대구시_올브랜서편공영주차장,"대구광역시 북구 산격동 1671(산격동, 공영주차장) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_옥포읍 행정복지센터,"대구 달성군 옥포읍 비슬로 2215(본리리, 옥포읍사무소, 옥포119지역대) 지상1층 주차장",01,3Mode,50
(RS)대구시_옥포읍 행정복지센터,"대구 달성군 옥포읍 비슬로 2215(본리리, 옥포읍사무소, 옥포119지역대) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_오리1리마을회관,"대구 달성군 가창면 헐티로10길 27(오리, 오리1리마을회관) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_염색공단제3공영주차장,"대구 서구 비산동 2037-37(비산동, 대구염색공단제3공영주차장) 지상1층 주차장",01,DC콤보(듀얼),100
(RS)대구시_염색공단제2공영주차장,"대구 서구 염색공단천로11길 27(비산동, 대구염색공단제2공영주차장) 지상1층 주차장",01,3Mode,50
(RS)대구시_염색공단제2공영주차장,"대구 서구 염색공단천로11길 27(비산동, 대구염색공단제2공영주차장) 지상1층 주차장",02,3Mode,50
(RS)대구시_염색공단제1공영주차장,"대구 서구 염색공단천로19길 24(비산동, 대구염색공단제1공영주차장) 지상1층 주차장",01,DC콤보(듀얼),100
(RS)대구시_연경체육공원,"대구광역시 북구 연경동 1094 (연경동, 연경체육공원) 지상1층 주차장",01,3Mode,100
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,03,AC완속(싱글),7
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,02,AC완속(싱글),7
(RS)대구시_어린이회관,대구광역시 수성구 동대구로 176 (황금동) 지상1층 주차장,01,AC완속(싱글),7
(RS)대구시_앞산공원 공영주차장,"대구광역시 남구 봉덕동 1566-1(봉덕동, 공영주차장) 지상1층 주차장",01,3Mode,100
(RS)대구시_안심4동 행정복지센터,대구 동구 안심로49길 98 안심4동 행정복지센터 지상 야외주차장,01,3Mode,50
(RS)대구시_안심1동 행정복지센터,"대구 동구 율하동로25길 5(신기동, 안심1동행정복지센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_아이빌,"대구 북구 태전로13길 12-19(태전동, 아이빌) 지상1층 주차장",01,3Mode,50
